,name,rank,target,type,base_damage,upgraded_damage,base_crit,upgraded_crit,base_self,upgraded_self,base_cooldown,upgraded_cooldown,base_effect,upgraded_effect,target_restriction,notes,hero_id,base_uses,upgraded_uses,path_name,skill_name,hero_name
290,Firestarter,oooo,oooo,buff,,,0.0,0.0,,,2,0," {{Buff2}} <span class""buff-dd2"">Apply On Hit:</span> {{Burn2|2}} (3 Turns)"," {{Buff2}} <span class""buff-dd2"">Apply On Hit:</span> {{Burn2|3}} (3 Turns)",Ally,,Run,2.0,inf,Survivor,Firestarter,Runaway
292,Backdraft,..oo,.ooo,ranged,,,0.0,0.0,,,1,0, Requires Enemy in Front {{Burn2}}<br>Ignores {{Guard2}}<br>Deals 50% of remaining {{Burn2}} on Enemy in Front as DMG, Requires Enemy in Front {{Burn2}}<br>Ignores {{Guard2}}<br>Deals 100% of remaining {{Burn2}} on Enemy in Front as DMG,,{{DoTBombDesc}},Run,inf,inf,Survivor,Backdraft,Runaway
269,Searing Strike,..oo,oo..,melee,3-6,4-7,0.05,0.1,,,0,0, {{Burn2|2}} or {{Burn2|4}} when Target {{Combo}}, {{Burn2|3}} or {{Burn2|6}} when Target {{Combo}},,,Run,inf,inf,Orphan,Searing Strike,Runaway
272,Firefly,oo..,.ooo,ranged,2-4,3-4,0.05,0.1,,,0,0," {{Burn2|3}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}"," {{Burn2|5}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}",,,Run,inf,inf,Orphan,Firefly,Runaway
275,Smokescreen,oooo,ooo.,ranged,,,0.05,0.1,,,1,0,"{{Blind}}, {{Combo}}","{{Blind|2}}, {{Vuln}}, {{Combo}}",,,Run,inf,inf,Orphan,Smokescreen,Runaway
276,Run and Hide,oooo,self,buff,,,0.0,0.0, {{Regen|3}}<br>{{Stealth2|2}}<br>{{Move2|back|1}}, {{Regen|3}}<br>{{Stealth2|2}}<br>Remove {{DoT2}}<br>{{Move2|back|1}},2,0,,,,,Run,inf,inf,Orphan,Run and Hide,Runaway
278,Hearthlight,oooo,o-o-o-o,buff,,,0.0,0.0,, {{Blind|ignore}}<br /> Allies: {{Blind|remove}},1,0, Ignores {{Dodge}}{{Stealth2}}<br /> {{Stealth2|remove}}, Ignores {{Dodge}}{{Stealth2}}<br /> {{Stealth2|remove}}<br /> {{Combo}} (25%),,,Run,inf,inf,Orphan,Hearthlight,Runaway
279,Ransack,oooo,.ooo,melee,3-6,4-8,0.05,0.1,{{Move2|forward|1}},,0,0," {{Move2|pull|1}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}"," {{Move2|pull|2}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}",,,Run,inf,inf,Orphan,Ransack,Runaway
282,Cauterize,ooo.,oooo,heal,,,0.0,0.0,,,0,0, Requires {{Bleed2}}<br /> Remove {{Bleed2}}<br /> {{HP2|heal|25%}}, Requires {{Bleed2}}<br /> Remove {{Bleed2}}<br /> {{HP2|heal|33%}},,,Run,3.0,inf,Orphan,Cauterize,Runaway
284,Controlled Burn,.ooo,oooo,ranged,,,0.05,0.0,,,3,0," {{Stealth2|ignore}}<br /> {{Burn2|3}}<br /> <span class""buff-dd2"">Apply on Attack:</span> {{ControlledBurn}}"," {{Stealth2|ignore}}<br /> {{Burn2|4}}<br /> <span class""buff-dd2"">Apply on Attack:</span> {{ControlledBurn+}}",,,Run,inf,inf,Orphan,Controlled Burn,Runaway
287,Dragonfly,..oo,o-o..,ranged,1-2,1-3,0.05,0.0,{{Move2|back|1}},,0,0, {{Burn2|2}}<br /> {{Combo}} (25%), {{Burn2|4}}<br /> {{Combo}} (33%),,,Run,inf,inf,Orphan,Dragonfly,Runaway
292,Backdraft,..oo,.ooo,ranged,,,0.0,0.0,,,1,0, Requires Enemy in Front {{Burn2}}<br>Ignores {{Guard2}}<br>Deals 50% of remaining {{Burn2}} on Enemy in Front as DMG, Requires Enemy in Front {{Burn2}}<br>Ignores {{Guard2}}<br>Deals 100% of remaining {{Burn2}} on Enemy in Front as DMG,,{{DoTBombDesc}},Run,inf,inf,Orphan,Backdraft,Runaway
245,Noxious Blast,ooo.,oo..,ranged,2-3,3-4,0.05,0.0,,,0,0, {{Blight2|4}}<br>{{Blight2|pierce|+30}} When Target {{Combo}}, {{Blight2|6}}<br>{{Blight2|pierce|+30}} When Target {{Combo}},,,PD,inf,inf,Wanderer,Noxious Blast,Plague Doctor
246,Noxious Blast (Surgeon),ooo.,oo..,ranged,2-3,3-4,0.05,0.0,,,0,0, {{Blight2|4}}<br>{{Blight2|pierce|-33}}<br>{{Blight2|pierce|+30}} When Target {{Combo}}, {{Blight2|pierce|-33}}<br>{{Blight2|6}}<br>{{Blight2|pierce|+30}} When Target {{Combo}} }} ,,,PD,inf,inf,Surgeon,Noxious Blast,Plague Doctor
247,Noxious Blast (Alchemist),ooo.,oo..,ranged,2-3,3-4,0.15,0.0,,,0,0, {{Blight2|4}}<br>{{Blight2|pierce|+33}}<br>{{Blight2|pierce|+30}} When Target {{Combo}}, {{Blight2|pierce|+33}}<br>{{Blight2|6}}<br>{{Blight2|pierce|+30}} When Target {{Combo}} }},,,PD,inf,inf,Alchemist,Noxious Blast,Plague Doctor
248,Noxious Blast (Physician),ooo.,oo..,ranged,2-3,3-4,0.05,0.0,,,0,0, {{Blight2|2}}<br>{{Blight2|pierce|+30}} When Target {{Combo}}, {{Blight2|4}}<br>{{Blight2|pierce|+30}} When Target {{Combo}} }},,,PD,inf,inf,Physician,Noxious Blast,Plague Doctor
249,Blinding Gas,oo..,..o-o,ranged,,,0.05,0.1,,,1,0, {{Blind}}<br>{{Combo}} (25%)," {{Blind}}, {{Daze}}<br>{{Combo}} (33%)",,,PD,inf,inf,Wanderer,Blinding Gas,Plague Doctor
250,Incision,.ooo,oo..,melee,3-6,4-7,0.1,0.15,,,0,0, {{Bleed2|3}}<br>{{Bleed2|pierce|+30}} When Target {{Combo}} , {{Bleed2|4}}<br>{{Bleed2|pierce|+30}} When Target {{Combo}},,,PD,inf,inf,Wanderer,Incision,Plague Doctor
251,Incision (Surgeon),.ooo,oo..,melee,4-9,5-11,0.1,0.15,,,0,0, {{Bleed2|3}}<br>{{Bleed2|pierce|+30}} When Target {{Combo}}, {{Bleed2|4}}<br>{{Bleed2|pierce|+30}} When Target {{Combo}} }},,,PD,inf,inf,Surgeon,Incision,Plague Doctor
252,Incision (Physician),.ooo,oo..,melee,3-6,4-7,0.1,0.15,,,0,0, {{Bleed2|1}}<br>{{Bleed2|pierce|+30}} When Target {{Combo}}, {{Bleed2|2}}<br>{{Bleed2|pierce|+30}} When Target {{Combo}} }},,,PD,inf,inf,Physician,Incision,Plague Doctor
253,Battlefield Medicine,oo..,oooo,heal,,,0.0,0.0,,Remove {{DoT2}},0,0, If {{HP2}} < 50%: {{HP2|heal|20%}}<br>Remove {{DoT2}}, If {{HP2}} < 50%: {{HP2|heal|25%}}<br>Remove {{DoT2}},,,PD,3.0,inf,Wanderer,Battlefield Medicine,Plague Doctor
254,Battlefield Medicine (Surgeon),oo..,oooo,heal,,,0.0,0.0,,Remove {{DoT2}} }},0,0, If {{HP2}} < 50%: {{HP2|heal|27%}}<br>Remove {{DoT2}}, If {{HP2}} < 50%: {{HP2|heal|33%}}<br>Remove {{DoT2}},,,PD,3.0,inf,Surgeon,Battlefield Medicine,Plague Doctor
255,Ounce of Prevention,oo..,o-o-o-o,buff,,,0.0,0.0,,,3,2, {{DoT2|res|+15}}<br> {{Disease2|res|+15}}, {{DoT2|res|+25}}<br> {{Disease2|res|+30}},,,PD,inf,inf,Wanderer,Ounce of Prevention,Plague Doctor
256,Ounce of Prevention (Physician),oo..,o-o-o-o,buff,,,0.0,0.0,,,3,2, {{DoT2|res|+15}}<br> {{Disease2|res|+15}}<br> {{Stress2|res|+15}}, {{DoT2|res|+25}}<br> {{Disease2|res|+30}}<br> {{Stress2|res|+15}} }},,,PD,inf,inf,Physician,Ounce of Prevention,Plague Doctor
257,Plague Grenade,oo..,..o-o,ranged,1-2,2-3,0.05,0.0,,,1,0,{{Blight2|3}},{{Blight2|4}},,,PD,inf,inf,Wanderer,Plague Grenade,Plague Doctor
258,Plague Grenade (Surgeon),oo..,..o-o,ranged,1-2,2-3,0.05,0.0,,,0,0, {{Blight2|3}}<br> {{Blight2|pierce|-33}}, {{Blight2|4}}<br> {{Blight2|pierce|-33}} }},,,PD,inf,inf,Surgeon,Plague Grenade,Plague Doctor
259,Plague Grenade (Alchemist),oo..,..o-o,ranged,1-2,2-3,0.15,0.0,,,1,0, {{Blight2|3}}<br> {{Blight2|pierce|+33}}, {{Blight2|4}}<br> {{Blight2|pierce|+33}} }},,,PD,inf,inf,Alchemist,Plague Grenade,Plague Doctor
260,Plague Grenade (Physician),oo..,..o-o,ranged,1-2,2-3,0.05,0.0,,,0,0,{{Blight2|1}},{{Blight2|2}} }},,,PD,inf,inf,Physician,Plague Grenade,Plague Doctor
261,Emboldening Vapours,oooo,oooo,buff,,,0.0,0.0,,,1,0,{{Strength}},{{Strength}}{{SpeedToken}},,,PD,inf,inf,Wanderer,Emboldening Vapours,Plague Doctor
262,Emboldening Vapours (Physician),oooo,oooo,buff,,,0.0,0.0,,,1,0,{{Strength|2}},"{{Strength|2}}, {{SpeedToken}}",,,PD,inf,inf,Physician,Emboldening Vapours,Plague Doctor
263,Disorienting Blast,ooo.,.ooo,ranged,,,0.05,0.1,,,0,0, {{Move2|shuffle}}<br>{{Daze}}," {{Move2|shuffle}}<br>{{Daze}}, {{Weak}}<br>{{StunToken}} When Target {{Combo}}",,,PD,inf,inf,Wanderer,Disorienting Blast,Plague Doctor
264,Disorienting Blast (Physician),ooo.,.ooo,ranged,,,0.05,0.1,,,0,0," {{Move2|shuffle}}<br>{{Stun2|pierce|+20}}<br>{{Daze}}, {{Vuln}}, {{Weak}}"," {{Move2|shuffle}}<br>{{Stun2|pierce|+20}}<br> {{Daze}}, {{Vuln}} {{Weak}}<br>{{StunToken}} When Target {{Combo}}",,,PD,inf,inf,Physician,Disorienting Blast,Plague Doctor
265,Indiscriminate Science,ooo.,oooo,heal,,,0.0,0.0,,,1,0," Requires {{HP2}} <50%<br> {{HP2|heal|10%}}<br> {{HP2|heal|+10%}} per <span class""buff-dd2"">Positive</span> Token<br> Remove All <span class""buff-dd2"">Positive</span> Tokens"," Requires {{HP2}} <50%<br> {{HP2|heal|10%}}<br> {{HP2|heal|+10%}} per <span class""buff-dd2"">Positive</span> Token<br> {{HP2|heal|+5%}} per <span class""debuff-dd2"">Negative</span> Token<br> Remove All <span class""buff-dd2"">Positive</span> and <span class""debuff-dd2"">Negative</span> Tokens",,,PD,inf,inf,Wanderer,Indiscriminate Science,Plague Doctor
266,Indiscriminate Science (Surgeon),ooo.,oooo,heal,,,0.0,0.0,,,1,0," Requires {{HP2}} <50%<br> {{HP2|heal|13%}}<br> {{HP2|heal|+13%}} per <span class""buff-dd2"">Positive</span> Token<br> Remove All <span class""buff-dd2"">Positive</span> Tokens"," Requires {{HP2}} <50%<br> {{HP2|heal|13%}}<br> {{HP2|heal|+13%}} per <span class""buff-dd2"">Positive</span> Token<br> {{HP2|heal|+7%}} per <span class""debuff-dd2"">Negative</span> Token<br> Remove All <span class""buff-dd2"">Positive</span> and <span class""debuff-dd2"">Negative</span> Tokens }}",,,PD,inf,inf,Surgeon,Indiscriminate Science,Plague Doctor
267,Cause of Death,.ooo,ooo.,melee,,,0.0,0.0,,,2,0, Deals 75% of remaining {{DoT2}} as DMG<br> Removes {{DoT2}}, {{Combo}}<br> Deals 100% of remaining {{DoT2}} as DMG<br> Removes {{DoT2}},,{{DoTBombDesc}} }},PD,inf,inf,Wanderer,Cause of Death,Plague Doctor
268,Magnesium Rain,oo..,o-o-o-o,ranged,,,0.05,0.0,,,2,0," {{Burn2|2}}<br> <span class""death"">Clear All Corpses</span>"," {{Burn2|3}}<br> <span class""death"">Clear All Corpses</span>",,{{CorpseClear2Desc}},PD,inf,inf,Wanderer,Magnesium Rain,Plague Doctor
249,Blinding Gas,oo..,..o-o,ranged,,,0.05,0.1,,,1,0, {{Blind}}<br>{{Combo}} (25%)," {{Blind}}, {{Daze}}<br>{{Combo}} (33%)",,,PD,inf,inf,Surgeon,Blinding Gas,Plague Doctor
255,Ounce of Prevention,oo..,o-o-o-o,buff,,,0.0,0.0,,,3,2, {{DoT2|res|+15}}<br> {{Disease2|res|+15}}, {{DoT2|res|+25}}<br> {{Disease2|res|+30}},,,PD,inf,inf,Surgeon,Ounce of Prevention,Plague Doctor
261,Emboldening Vapours,oooo,oooo,buff,,,0.0,0.0,,,1,0,{{Strength}},{{Strength}}{{SpeedToken}},,,PD,inf,inf,Surgeon,Emboldening Vapours,Plague Doctor
263,Disorienting Blast,ooo.,.ooo,ranged,,,0.05,0.1,,,0,0, {{Move2|shuffle}}<br>{{Daze}}," {{Move2|shuffle}}<br>{{Daze}}, {{Weak}}<br>{{StunToken}} When Target {{Combo}}",,,PD,inf,inf,Surgeon,Disorienting Blast,Plague Doctor
267,Cause of Death,.ooo,ooo.,melee,,,0.0,0.0,,,2,0, Deals 75% of remaining {{DoT2}} as DMG<br> Removes {{DoT2}}, {{Combo}}<br> Deals 100% of remaining {{DoT2}} as DMG<br> Removes {{DoT2}},,{{DoTBombDesc}} }},PD,inf,inf,Surgeon,Cause of Death,Plague Doctor
268,Magnesium Rain,oo..,o-o-o-o,ranged,,,0.05,0.0,,,2,0," {{Burn2|2}}<br> <span class""death"">Clear All Corpses</span>"," {{Burn2|3}}<br> <span class""death"">Clear All Corpses</span>",,{{CorpseClear2Desc}},PD,inf,inf,Surgeon,Magnesium Rain,Plague Doctor
249,Blinding Gas,oo..,..o-o,ranged,,,0.05,0.1,,,1,0, {{Blind}}<br>{{Combo}} (25%)," {{Blind}}, {{Daze}}<br>{{Combo}} (33%)",,,PD,inf,inf,Alchemist,Blinding Gas,Plague Doctor
250,Incision,.ooo,oo..,melee,3-6,4-7,0.1,0.15,,,0,0, {{Bleed2|3}}<br>{{Bleed2|pierce|+30}} When Target {{Combo}} , {{Bleed2|4}}<br>{{Bleed2|pierce|+30}} When Target {{Combo}},,,PD,inf,inf,Alchemist,Incision,Plague Doctor
253,Battlefield Medicine,oo..,oooo,heal,,,0.0,0.0,,Remove {{DoT2}},0,0, If {{HP2}} < 50%: {{HP2|heal|20%}}<br>Remove {{DoT2}}, If {{HP2}} < 50%: {{HP2|heal|25%}}<br>Remove {{DoT2}},,,PD,3.0,inf,Alchemist,Battlefield Medicine,Plague Doctor
255,Ounce of Prevention,oo..,o-o-o-o,buff,,,0.0,0.0,,,3,2, {{DoT2|res|+15}}<br> {{Disease2|res|+15}}, {{DoT2|res|+25}}<br> {{Disease2|res|+30}},,,PD,inf,inf,Alchemist,Ounce of Prevention,Plague Doctor
261,Emboldening Vapours,oooo,oooo,buff,,,0.0,0.0,,,1,0,{{Strength}},{{Strength}}{{SpeedToken}},,,PD,inf,inf,Alchemist,Emboldening Vapours,Plague Doctor
263,Disorienting Blast,ooo.,.ooo,ranged,,,0.05,0.1,,,0,0, {{Move2|shuffle}}<br>{{Daze}}," {{Move2|shuffle}}<br>{{Daze}}, {{Weak}}<br>{{StunToken}} When Target {{Combo}}",,,PD,inf,inf,Alchemist,Disorienting Blast,Plague Doctor
265,Indiscriminate Science,ooo.,oooo,heal,,,0.0,0.0,,,1,0," Requires {{HP2}} <50%<br> {{HP2|heal|10%}}<br> {{HP2|heal|+10%}} per <span class""buff-dd2"">Positive</span> Token<br> Remove All <span class""buff-dd2"">Positive</span> Tokens"," Requires {{HP2}} <50%<br> {{HP2|heal|10%}}<br> {{HP2|heal|+10%}} per <span class""buff-dd2"">Positive</span> Token<br> {{HP2|heal|+5%}} per <span class""debuff-dd2"">Negative</span> Token<br> Remove All <span class""buff-dd2"">Positive</span> and <span class""debuff-dd2"">Negative</span> Tokens",,,PD,inf,inf,Alchemist,Indiscriminate Science,Plague Doctor
267,Cause of Death,.ooo,ooo.,melee,,,0.0,0.0,,,2,0, Deals 75% of remaining {{DoT2}} as DMG<br> Removes {{DoT2}}, {{Combo}}<br> Deals 100% of remaining {{DoT2}} as DMG<br> Removes {{DoT2}},,{{DoTBombDesc}} }},PD,inf,inf,Alchemist,Cause of Death,Plague Doctor
268,Magnesium Rain,oo..,o-o-o-o,ranged,,,0.05,0.0,,,2,0," {{Burn2|2}}<br> <span class""death"">Clear All Corpses</span>"," {{Burn2|3}}<br> <span class""death"">Clear All Corpses</span>",,{{CorpseClear2Desc}},PD,inf,inf,Alchemist,Magnesium Rain,Plague Doctor
249,Blinding Gas,oo..,..o-o,ranged,,,0.05,0.1,,,1,0, {{Blind}}<br>{{Combo}} (25%)," {{Blind}}, {{Daze}}<br>{{Combo}} (33%)",,,PD,inf,inf,Physician,Blinding Gas,Plague Doctor
253,Battlefield Medicine,oo..,oooo,heal,,,0.0,0.0,,Remove {{DoT2}},0,0, If {{HP2}} < 50%: {{HP2|heal|20%}}<br>Remove {{DoT2}}, If {{HP2}} < 50%: {{HP2|heal|25%}}<br>Remove {{DoT2}},,,PD,3.0,inf,Physician,Battlefield Medicine,Plague Doctor
265,Indiscriminate Science,ooo.,oooo,heal,,,0.0,0.0,,,1,0," Requires {{HP2}} <50%<br> {{HP2|heal|10%}}<br> {{HP2|heal|+10%}} per <span class""buff-dd2"">Positive</span> Token<br> Remove All <span class""buff-dd2"">Positive</span> Tokens"," Requires {{HP2}} <50%<br> {{HP2|heal|10%}}<br> {{HP2|heal|+10%}} per <span class""buff-dd2"">Positive</span> Token<br> {{HP2|heal|+5%}} per <span class""debuff-dd2"">Negative</span> Token<br> Remove All <span class""buff-dd2"">Positive</span> and <span class""debuff-dd2"">Negative</span> Tokens",,,PD,inf,inf,Physician,Indiscriminate Science,Plague Doctor
267,Cause of Death,.ooo,ooo.,melee,,,0.0,0.0,,,2,0, Deals 75% of remaining {{DoT2}} as DMG<br> Removes {{DoT2}}, {{Combo}}<br> Deals 100% of remaining {{DoT2}} as DMG<br> Removes {{DoT2}},,{{DoTBombDesc}} }},PD,inf,inf,Physician,Cause of Death,Plague Doctor
268,Magnesium Rain,oo..,o-o-o-o,ranged,,,0.05,0.0,,,2,0," {{Burn2|2}}<br> <span class""death"">Clear All Corpses</span>"," {{Burn2|3}}<br> <span class""death"">Clear All Corpses</span>",,{{CorpseClear2Desc}},PD,inf,inf,Physician,Magnesium Rain,Plague Doctor
221,Sacrificial Stab,.ooo,ooo.,melee,3-6,4-8,0.15,0.2, {{UncheckedPower}} When Target {{Combo}}, {{UncheckedPower}} When Target {{Combo}}<br />,0,0,," {{Execution|1}}<br><span class""buff-dd2"">Gain on Killing Blow:</span> {{UncheckedPower}}",,,Occ,inf,inf,Wanderer,Sacrificial Stab,Occultist
222,Sacrificial Stab (Aspirant),.ooo,ooo.,melee,4-7,5-10,0.15,0.2, {{UncheckedPower}} When Target {{Combo}}, {{UncheckedPower}} When Target {{Combo}}<br />,0,0,," {{Execution|1}}<br><span class""buff-dd2"">Gain on Killing Blow:</span> {{UncheckedPower}} }}",,,Occ,inf,inf,Aspirant,Sacrificial Stab,Occultist
223,Abyssal Artillery,oo..,..o-o,ranged,3-6,4-7,0.05,0.1,,,0,0,{{Combo}} (25%), {{Combo}} (33%)<br /> {{StunToken}} When Self {{UncheckedPower}} x2,,,Occ,inf,inf,Wanderer,Abyssal Artillery,Occultist
224,Abyssal Artillery (Warlock),oo..,..o-o,ranged,4-7,5-9,0.05,0.1,,,0,0,{{Combo}} (25%), {{Combo}} (33%)<br /> {{StunToken}} When Self {{UncheckedPower}} x2 }},,,Occ,inf,inf,Warlock,Abyssal Artillery,Occultist
225,Weakening Curse,oooo,oooo,ranged,,,0.05,0.1,,,1,0,"{{Combo}}, {{Weak|2}}", {{Combo}}<br>Remove {{Crit}}{{Strength}}<br>{{Weak|2}} ,,,Occ,inf,inf,Wanderer,Weakening Curse,Occultist
226,Weakening Curse (Ritualist),oooo,oooo,ranged,,,0.05,0.1, {{Strength}} (15%)<br /> {{Crit}} (15%)<br /> {{Dodge+}} (15%) }},,1,0," {{Debuff2|pierce|+10}}<br /> {{Combo}}, {{Weak|2}}", {{Debuff2|pierce|+10}}<br /> {{Combo}}<br /> <br>Remove {{Crit}}{{Strength}}<br>{{Weak|2}},,,Occ,inf,inf,Ritualist,Weakening Curse,Occultist
227,Weakening Curse (Aspirant),oooo,oooo,ranged,,,0.05,0.1,,,1,0," {{Debuff2|pierce|-15}}<br /> {{Combo}}, {{Weak|2}}", {{Debuff2|pierce|-15}}<br /> {{Combo}}<br /> Remove {{Crit}}{{Strength}}<br>{{Weak|2}} }},,,Occ,inf,inf,Aspirant,Weakening Curse,Occultist
228,Wyrd Reconstruction,oooo,oooo,heal,,,0.05,0.1,,,0,0," Requires {{HP2}} < 50%<br /> <span class""buff-dd2"">+100% CRIT Heal</span> when {{UncheckedPower}}x2<br> {{HP2|heal|0-33%}}<br> {{Bleed2|3}} (50%)<br />"," Requires {{HP2}} < 50%<br /> <span class""buff-dd2"">+100% CRIT Heal</span> when {{UncheckedPower}}x2<br> {{HP2|heal|0-50%}}<br> {{Bleed2|2}} (50%)<br />",," Wyrd Reconstruction has a number of unique interactions with [[Critical Heal (Darkest Dungeon II)|critical healing]]:  * The critical heal does not use the maximum value of the skill as in the case of a critical attack, but the randomly rolled value. This means that it is possible to roll a critical heal for 0% of the target's health while simultaneously {{Bleed2|bleeding}} the target. * A critical heal restores 200% of randomly rolled amount instead of the usual 150%. * The upgraded version of this skill is the only heal in the game that has a 10% chance to critically heal instead of the usual 5%.",Occ,inf,inf,Wanderer,Wyrd Reconstruction,Occultist
229,Wyrd Reconstruction (Ritualist),oooo,oooo,heal,,,0.05,0.1,,,0,0," Requires {{HP2}} < 50%<br /> <span class""buff-dd2"">+100% CRIT Heal</span> when {{UncheckedPower}}x2<br> {{HP2|heal|0-44%}}<br> {{Bleed2|3}} (50%)<br />"," Requires {{HP2}} < 50%<br /> <span class""buff-dd2"">+100% CRIT Heal</span> when {{UncheckedPower}}x2<br> {{HP2|heal|0-66%}}<br> {{Bleed2|2}} (50%)<br /> }}",,,Occ,inf,inf,Ritualist,Wyrd Reconstruction,Occultist
230,Daemon's Pull,ooo.,..oo,ranged,2-5,3-6,0.05,0.0,,,0,0," {{Move2|pull|2}}<br /> {{Combo}}<br /> <span class""death"">Clear All Corpses</span>"," {{Move2|pull|3}}<br /> {{Combo}}<br /> {{StunToken}} when Self {{UncheckedPower}} x2 <span class""death"">Clear All Corpses</span> }}",,,Occ,inf,inf,Wanderer,Daemon's Pull,Occultist
231,Daemon's Pull (Warlock),ooo.,..oo,ranged,3-6,4-7,0.05,0.1,,,0,0," {{Move2|pull|2}}<br /> {{Combo}}<br /> <span class""death"">Clear All Corpses</span>"," {{Move2|pull|3}}<br /> {{Combo}}<br /> {{StunToken}} when Self {{UncheckedPower}} x2 <span class""death"">Clear All Corpses</span> }}",,,Occ,inf,inf,Warlock,Daemon's Pull,Occultist
232,Vulnerability Hex,oooo,oooo,ranged,,,0.05,0.1,,,1,0, {{Dodge|ignore}}<br /> {{Dodge|remove}}<br /> {{Vuln|2}}, {{Dodge|ignore}}<br /> Remove {{Dodge}}{{Block}}<br />  {{Vuln|2}},,,Occ,inf,inf,Wanderer,Vulnerability Hex,Occultist
233,Vulnerability Hex (Ritualist),oooo,oooo,ranged,,,0.05,0.1, {{Strength}} (15%)<br /> {{Crit}} (15%)<br /> {{Dodge+}} (15%) }},,1,0, {{Debuff2|pierce|+10}}<br /> {{Dodge|ignore}}<br /> {{Dodge|remove}}<br /> {{Vuln|2}}, {{Debuff2|pierce|+10}}<br /> {{Dodge|ignore}}<br /> Remove {{Dodge}}{{Block}}<br /> {{Vuln|2}},,,Occ,inf,inf,Ritualist,Vulnerability Hex,Occultist
234,Vulnerability Hex (Aspirant),oooo,oooo,ranged,,,0.05,0.1,,,1,0, {{Debuff2|pierce|-15}}<br /> {{Dodge|ignore}}<br /> {{Dodge|remove}}<br /> {{Vuln|2}}, {{Debuff2|pierce|-15}}<br /> {{Dodge|ignore}}<br /> Remove {{Dodge}}{{Block}}<br /> {{Vuln|2}} }},,,Occ,inf,inf,Aspirant,Vulnerability Hex,Occultist
235,Binding Shadows,ooo.,ooo.,melee,3-6,4-8,0.1,0.15,{{UncheckedPower}} (50%),{{UncheckedPower}} (66%),0,0, {{Debuff2}}: {{Debuff2|res|-10}} When Target {{Combo}}, {{Debuff2}}: {{Debuff2|res|-10}} When Target {{Combo}},,The {{Debuff2|-}} cannot be resisted.,Occ,inf,inf,Wanderer,Binding Shadows,Occultist
236,Binding Shadows (Aspirant),ooo.,ooo.,melee,4-7,5-10,0.1,0.15, {{Move2|forward|1}}<br>{{UncheckedPower}} (50%), {{Move2|forward|1}}<br>{{UncheckedPower}} (66%),0,0, {{Debuff2}}: {{Debuff2|res|-10}} When Target {{Combo}}, {{Debuff2}}: {{Debuff2|res|-15}} When Target {{Combo}} }},,,Occ,inf,inf,Aspirant,Binding Shadows,Occultist
237,Malediction,oooo,oooo,ranged,,,0.1,0.15,,,0,0, ''Requires Self {{UncheckedPower}}x2''<br /> {{Debuff2}}  When Damaged:<br> {{Bleed2|2}} or {{Blight2|2}} or {{Burn2|2}} (3 Rounds), ''Requires Self {{UncheckedPower}}x2''<br /> {{DoT2|res|-20}}<br> {{Debuff2}}  When Damaged:<br> {{Bleed2|2}} or {{Blight2|2}} or {{Burn2|2}} (3 Rounds),,,Occ,inf,inf,Wanderer,Malediction,Occultist
238,Malediction (Ritualist),oooo,oooo,ranged,,,0.1,0.15, {{Strength}} (15%)<br /> {{Crit}} (15%)<br /> {{Dodge+}} (15%),,0,0, ''Requires Self {{UncheckedPower}}x2''<br /> {{Debuff2}}  When Damaged:<br> {{Bleed2|2}} or {{Blight2|2}} or {{Burn2|2}} (3 Rounds), ''Requires Self {{UncheckedPower}}x2''<br /> {{DoT2|res|-20}}<br> {{Debuff2}}  When Damaged:<br> {{Bleed2|2}} or {{Blight2|2}} or {{Burn2|2}} (3 Rounds) }},,,Occ,inf,inf,Ritualist,Malediction,Occultist
239,Malediction (Aspirant),oooo,oooo,ranged,,,0.1,0.15,,,0,0, {{Debuff2|pierce|-15}} ''Requires Self {{UncheckedPower}}x2''<br /> {{Debuff2}}  When Damaged: {{Bleed2|2}} or {{Blight2|2}} or {{Burn2|2}} (3 Rounds), {{Debuff2|pierce|-15}} ''Requires Self {{UncheckedPower}}x2''<br /> {{DoT2|res|-20}}<br> {{Debuff2}}  When Damaged: {{Bleed2|2}} or {{Blight2|2}} or {{Burn2|2}} (3 Rounds) }},,,Occ,inf,inf,Aspirant,Malediction,Occultist
240,Anamnesis,..oo,o-o-o-o,melee,1-2,1-3,0.05,0.0,,,0,0, ''Requires Self {{UncheckedPower}} x2''<br /> {{Bleed2|3}}, ''Requires Self {{UncheckedPower}} x2''<br /> {{Bleed2|4}},,,Occ,inf,inf,Wanderer,Anamnesis,Occultist
241,Anamnesis (Aspirant),..oo,o-o-o-o,melee,3-5,4-6,0.05,0.0,,,0,0, ''Requires Self {{UncheckedPower}} x2''<br /> {{Bleed2|3}}, ''Requires Self {{UncheckedPower}} x2''<br /> {{Bleed2|4}} }},,,Occ,inf,inf,Aspirant,Anamnesis,Occultist
242,The Burning Stars,ooo.,oooo,ranged,8-16,12-18,0.1,0.15,,,0,0, ''Requires Self {{UncheckedPower}} x2'' {{Block|ignore}}<br /> {{Combo}},,,,Occ,inf,inf,Wanderer,The Burning Stars,Occultist
